17:00:58.007 -> Bluefruit52 RSSI Example
17:00:58.007 -> ------------------------
17:00:58.007 -> 
17:00:58.007 -> Please use Adafruit's Bluefruit LE app to connect
17:01:04.535 -> Connected
17:01:04.535 -> Rssi = 0
17:01:04.707 -> Rssi = -45
17:01:04.844 -> Rssi = -45
17:01:04.980 -> Rssi = -40
17:01:05.153 -> Rssi = -48
17:01:05.292 -> Rssi = -49
17:01:05.463 -> Rssi = -46
17:01:05.602 -> Rssi = -46
17:01:05.772 -> Rssi = -48
17:01:05.911 -> Rssi = -44
17:01:06.048 -> Rssi = -47
17:01:06.220 -> Rssi = -49
17:01:06.358 -> Rssi = -51
17:01:06.528 -> Rssi = -72
17:01:06.666 -> Rssi = -63
17:01:06.838 -> Rssi = -65
17:01:06.976 -> Rssi = -78
17:01:07.146 -> Rssi = -58
17:01:07.284 -> Rssi = -54
17:01:07.422 -> Rssi = -55
17:01:07.593 -> Rssi = -55
17:01:07.729 -> Rssi = -53
17:01:07.901 -> Rssi = -49
17:01:08.041 -> Rssi = -49
17:01:08.213 -> Rssi = -51
17:01:08.350 -> Rssi = -56
17:01:08.488 -> Rssi = -54
17:01:08.660 -> Rssi = -52
17:01:08.798 -> Rssi = -51
17:01:08.970 -> Rssi = -55
17:01:09.107 -> Rssi = -52
17:01:09.279 -> Rssi = -50
17:01:09.415 -> Rssi = -46
17:01:09.584 -> Rssi = -51
17:01:09.721 -> Rssi = -49
17:01:09.857 -> Rssi = -46
17:01:10.029 -> Rssi = -44
17:01:10.167 -> Rssi = -50
17:01:10.341 -> Rssi = -53
17:01:10.480 -> Rssi = -45
17:01:10.616 -> Rssi = -47
17:01:10.788 -> Rssi = -49
17:01:10.927 -> Rssi = -52
17:01:11.097 -> Rssi = -52
17:01:11.233 -> Rssi = -46
17:01:11.404 -> Rssi = -50
17:01:11.540 -> Rssi = -50
17:01:11.714 -> Rssi = -50
17:01:11.848 -> Rssi = -52
17:01:12.021 -> Rssi = -45
17:01:12.159 -> Rssi = -52
17:01:12.297 -> Rssi = -53
17:01:12.469 -> Rssi = -51
17:01:12.607 -> Rssi = -49
17:01:12.778 -> Rssi = -54
17:01:12.914 -> Rssi = -57
17:01:13.083 -> Rssi = -51
17:01:13.222 -> Rssi = -50
17:01:13.360 -> Rssi = -51
17:01:13.531 -> Rssi = -50
17:01:13.667 -> Rssi = -47
17:01:13.840 -> Rssi = -45
17:01:13.976 -> Rssi = -45
17:01:14.148 -> Rssi = -50
17:01:14.285 -> Rssi = -56
17:01:14.457 -> Rssi = -53
17:01:14.594 -> Rssi = -46
17:01:14.732 -> Rssi = -50
17:01:14.904 -> Rssi = -53
17:01:15.041 -> Rssi = -54
17:01:15.213 -> Rssi = -50
17:01:15.348 -> Rssi = -51
17:01:15.520 -> Rssi = -49
17:01:15.656 -> Rssi = -46
17:01:15.829 -> Rssi = -45
17:01:15.966 -> Rssi = -45
17:01:16.105 -> Rssi = -54
17:01:16.275 -> Rssi = -54
17:01:16.412 -> Rssi = -50
17:01:16.585 -> Rssi = -49
17:01:16.722 -> Rssi = -54
17:01:16.895 -> Rssi = -49
17:01:17.031 -> Rssi = -49
17:01:17.170 -> Rssi = -50
17:01:17.342 -> Rssi = -51
17:01:17.480 -> Rssi = -49
17:01:17.653 -> Rssi = -46
17:01:17.792 -> Rssi = -45
17:01:17.963 -> Rssi = -51
17:01:18.099 -> Rssi = -54
17:01:18.236 -> Rssi = -45
17:01:18.408 -> Rssi = -49
17:01:18.546 -> Rssi = -50
17:01:18.720 -> Rssi = -59
17:01:18.856 -> Rssi = -52
17:01:19.029 -> Rssi = -47
17:01:19.166 -> Rssi = -50
17:01:19.306 -> Rssi = -51
17:01:19.480 -> Rssi = -49
17:01:19.616 -> Rssi = -47
17:01:19.789 -> Rssi = -46
17:01:19.926 -> Rssi = -52
17:01:20.095 -> Rssi = -54
17:01:20.232 -> Rssi = -52
17:01:20.371 -> Rssi = -49
17:01:20.543 -> Rssi = -53
17:01:20.681 -> Rssi = -53
17:01:20.850 -> Rssi = -50
17:01:20.986 -> Rssi = -50
17:01:21.159 -> Rssi = -51
17:01:21.296 -> Rssi = -50
17:01:21.467 -> Rssi = -48
17:01:21.606 -> Rssi = -45
17:01:21.744 -> Rssi = -45
17:01:21.914 -> Rssi = -54
17:01:22.051 -> Rssi = -51
17:01:22.224 -> Rssi = -53
17:01:22.362 -> Rssi = -49
17:01:22.534 -> Rssi = -54
17:01:22.672 -> Rssi = -53
17:01:22.810 -> Rssi = -49
17:01:22.982 -> Rssi = -50
17:01:23.121 -> Rssi = -50
17:01:23.294 -> Rssi = -52
17:01:23.431 -> Rssi = -47
17:01:23.569 -> Rssi = -50
17:01:23.740 -> Rssi = -49
17:01:23.877 -> Rssi = -53
17:01:24.050 -> Rssi = -53
17:01:24.186 -> Rssi = -50
17:01:24.358 -> Rssi = -52
17:01:24.496 -> Rssi = -54
17:01:24.633 -> Rssi = -51
17:01:24.805 -> Rssi = -49
17:01:24.940 -> Rssi = -50
17:01:25.111 -> Rssi = -51
17:01:25.249 -> Rssi = -50
17:01:25.421 -> Rssi = -47
17:01:25.559 -> Rssi = -51
17:01:25.732 -> Rssi = -51
17:01:25.868 -> Rssi = -54
17:01:26.004 -> Rssi = -53
17:01:26.177 -> Rssi = -49
17:01:26.315 -> Rssi = -53
17:01:26.488 -> Rssi = -46
17:01:26.625 -> Rssi = -50
17:01:26.795 -> Rssi = -49
17:01:26.934 -> Rssi = -51
17:01:27.104 -> Rssi = -46
17:01:27.243 -> Rssi = -49
17:01:27.382 -> Rssi = -51
17:01:27.554 -> Rssi = -46
17:01:27.692 -> Rssi = -52
17:01:27.866 -> Rssi = -54
17:01:28.003 -> Rssi = -52
17:01:28.140 -> Rssi = -49
17:01:28.312 -> Rssi = -53
17:01:28.451 -> Rssi = -53
17:01:28.622 -> Rssi = -49
17:01:28.760 -> Rssi = -49
17:01:28.933 -> Rssi = -51
17:01:29.069 -> Rssi = -51
17:01:29.208 -> Rssi = -48
17:01:29.381 -> Rssi = -46
17:01:29.517 -> Rssi = -46
17:01:29.690 -> Rssi = -50
17:01:29.829 -> Rssi = -59
17:01:29.967 -> Rssi = -51
17:01:30.136 -> Rssi = -49
17:01:30.274 -> Rssi = -54
17:01:30.448 -> Rssi = -53
17:01:30.586 -> Rssi = -49
17:01:30.757 -> Rssi = -47
17:01:30.895 -> Rssi = -51
17:01:31.034 -> Rssi = -49
17:01:31.207 -> Rssi = -54
17:01:31.344 -> Rssi = -47
17:01:31.515 -> Rssi = -48
17:01:31.651 -> Rssi = -50
17:01:31.824 -> Rssi = -53
17:01:31.962 -> Rssi = -50
17:01:32.100 -> Rssi = -53
17:01:32.273 -> Rssi = -54
17:01:32.409 -> Rssi = -52
17:01:32.581 -> Rssi = -49
17:01:32.719 -> Rssi = -51
17:01:32.892 -> Rssi = -53
17:01:33.030 -> Rssi = -51
17:01:33.166 -> Rssi = -48
17:01:33.337 -> Rssi = -54
17:01:33.474 -> Rssi = -51
17:01:33.646 -> Rssi = -55
17:01:33.779 -> Rssi = -54
17:01:33.947 -> Rssi = -50
17:01:34.085 -> Rssi = -54
17:01:34.256 -> Rssi = -59
17:01:34.392 -> Rssi = -52
17:01:34.566 -> Rssi = -50
17:01:34.704 -> Rssi = -55
17:01:34.841 -> Rssi = -54
17:01:35.014 -> Rssi = -52
17:01:35.152 -> Rssi = -54
17:01:35.324 -> Rssi = -48
17:01:35.463 -> Rssi = -49
17:01:35.635 -> Rssi = -53
17:01:35.774 -> Rssi = -53
17:01:35.912 -> Rssi = -56
17:01:36.083 -> Rssi = -54
17:01:36.221 -> Rssi = -55
17:01:36.392 -> Rssi = -51
17:01:36.529 -> Rssi = -51
17:01:36.699 -> Rssi = -53
17:01:36.836 -> Rssi = -52
17:01:36.975 -> Rssi = -50
17:01:37.148 -> Rssi = -47
17:01:37.286 -> Rssi = -47
17:01:37.456 -> Rssi = -55
17:01:37.596 -> Rssi = -58
17:01:37.767 -> Rssi = -53
17:01:37.905 -> Rssi = -51
17:01:38.042 -> Rssi = -57
17:01:38.213 -> Rssi = -55
17:01:38.351 -> Rssi = -52
17:01:38.522 -> Rssi = -54
17:01:38.658 -> Rssi = -55
17:01:38.830 -> Rssi = -53
17:01:38.969 -> Rssi = -58
17:01:39.107 -> Rssi = -49
17:01:39.281 -> Rssi = -52
17:01:39.419 -> Rssi = -54
17:01:39.590 -> Rssi = -57
17:01:39.729 -> Rssi = -57
17:01:39.900 -> Rssi = -56
17:01:40.038 -> Rssi = -59
17:01:40.177 -> Rssi = -57
17:01:40.350 -> Rssi = -53
17:01:40.489 -> Rssi = -55
17:01:40.661 -> Rssi = -56
17:01:40.799 -> Rssi = -54
17:01:40.937 -> Rssi = -56
17:01:41.108 -> Rssi = -49
17:01:41.246 -> Rssi = -55
17:01:41.419 -> Rssi = -60
17:01:41.558 -> Rssi = -60
17:01:41.728 -> Rssi = -54
17:01:41.867 -> Rssi = -64
17:01:42.004 -> Rssi = -61
17:01:42.176 -> Rssi = -56
17:01:42.314 -> Rssi = -52
17:01:42.489 -> Rssi = -59
17:01:42.626 -> Rssi = -56
17:01:42.765 -> Rssi = -58
17:01:42.938 -> Rssi = -51
17:01:43.076 -> Rssi = -57
17:01:43.249 -> Rssi = -54
17:01:43.387 -> Rssi = -60
17:01:43.526 -> Rssi = -55
17:01:43.698 -> Rssi = -52
17:01:43.838 -> Rssi = -59
17:01:44.012 -> Rssi = -58
17:01:44.151 -> Rssi = -54
17:01:44.290 -> Rssi = -54
17:01:44.461 -> Rssi = -56
17:01:44.598 -> Rssi = -55
17:01:44.773 -> Rssi = -60
17:01:44.911 -> Rssi = -50
17:01:45.048 -> Rssi = -50
17:01:45.222 -> Rssi = -58
17:01:45.362 -> Rssi = -60
17:01:45.535 -> Rssi = -55
17:01:45.675 -> Rssi = -55
17:01:45.813 -> Rssi = -59
17:01:45.986 -> Rssi = -57
17:01:46.122 -> Rssi = -53
17:01:46.296 -> Rssi = -56
17:01:46.434 -> Rssi = -56
17:01:46.605 -> Rssi = -54
17:01:46.744 -> Rssi = -51
17:01:46.881 -> Rssi = -50
17:01:47.053 -> Rssi = -52
17:01:47.192 -> Rssi = -55
17:01:47.367 -> Rssi = -57
17:01:47.504 -> Rssi = -59
17:01:47.640 -> Rssi = -50
17:01:47.813 -> Rssi = -58
17:01:47.953 -> Rssi = -56
17:01:48.123 -> Rssi = -54
17:01:48.261 -> Rssi = -57
17:01:48.400 -> Rssi = -56
17:01:48.573 -> Rssi = -54
17:01:48.712 -> Rssi = -53
17:01:48.883 -> Rssi = -51
17:01:49.021 -> Rssi = -58
17:01:49.195 -> Rssi = -62
17:01:49.335 -> Rssi = -60
17:01:49.472 -> Rssi = -55
17:01:49.643 -> Rssi = -62
17:01:49.782 -> Rssi = -62
17:01:49.953 -> Rssi = -57
17:01:50.091 -> Rssi = -57
17:01:50.262 -> Rssi = -57
17:01:50.400 -> Rssi = -62
17:01:50.539 -> Rssi = -57
17:01:50.712 -> Rssi = -54
17:01:50.850 -> Rssi = -55
17:01:51.020 -> Rssi = -62
17:01:51.158 -> Rssi = -60
17:01:51.296 -> Rssi = -61
17:01:51.469 -> Rssi = -64
17:01:51.607 -> Rssi = -55
17:01:51.779 -> Rssi = -60
17:01:51.918 -> Rssi = -55
17:01:52.089 -> Rssi = -61
17:01:52.226 -> Rssi = -52
17:01:52.362 -> Rssi = -58
17:01:52.534 -> Rssi = -55
17:01:52.673 -> Rssi = -50
17:01:52.844 -> Rssi = -50
17:01:52.982 -> Rssi = -60
17:01:53.156 -> Rssi = -60
17:01:53.295 -> Rssi = -56
17:01:53.432 -> Rssi = -57
17:01:53.602 -> Rssi = -59
17:01:53.738 -> Rssi = -57
17:01:53.910 -> Rssi = -53
17:01:54.046 -> Rssi = -56
17:01:54.220 -> Rssi = -56
17:01:54.356 -> Rssi = -57
17:01:54.527 -> Rssi = -51
17:01:54.664 -> Rssi = -51
17:01:54.800 -> Rssi = -51
17:01:54.970 -> Rssi = -59
17:01:55.106 -> Rssi = -56
17:01:55.276 -> Rssi = -55
17:01:55.411 -> Rssi = -58
17:01:55.582 -> Rssi = -56
17:01:55.718 -> Rssi = -57
17:01:55.888 -> Rssi = -60
17:01:56.025 -> Rssi = -51
17:01:56.199 -> Rssi = -56
17:01:56.335 -> Rssi = -56
17:01:56.506 -> Rssi = -51
17:01:56.645 -> Rssi = -50
17:01:56.812 -> Rssi = -56
17:01:56.950 -> Rssi = -61
17:01:57.086 -> Rssi = -57
17:01:57.256 -> Rssi = -56
17:01:57.393 -> Rssi = -61
17:01:57.564 -> Rssi = -66
17:01:57.701 -> Rssi = -59
17:01:57.870 -> Rssi = -57
17:01:58.005 -> Rssi = -58
17:01:58.174 -> Rssi = -58
17:01:58.310 -> Rssi = -55
17:01:58.479 -> Rssi = -57
17:01:58.614 -> Rssi = -52
17:01:58.785 -> Rssi = -54
17:01:58.920 -> Rssi = -58
17:01:59.091 -> Rssi = -60
17:01:59.230 -> Rssi = -62
17:01:59.403 -> Rssi = -56
17:01:59.540 -> Rssi = -56
17:01:59.680 -> 
17:01:59.680 -> Disconnected, reason = 0x13
